gene_id,Satrom-mRNA-6hC_CGATGT_L003_001
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,0
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,40
1700061I17Rik,0
1700061J23Rik,0
1700062C10Rik,0
1700063A18Rik,0
1700063D05Rik,2
1700063H04Rik,1
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,1
1700065D16Rik,14
1700065I16Rik,0
1700065J11Rik,0
1700065J18Rik,0
1700065L07Rik,0
1700065O20Rik,0
1700066B17Rik,0
1700066B19Rik,47
1700066C05Rik,0
1700066J03Rik,0
1700066M21Rik,664
1700066N21Rik,0
1700066O22Rik,0
1700067G17Rik,0
1700067K01Rik,75
1700067P10Rik,0
1700069L16Rik,0
1700069P05Rik,0
1700071G01Rik,2
1700071K01Rik,0
1700071M16Rik,0
1700072B07Rik,0
1700072I22Rik,0
1700072O05Rik,0
1700073E17Rik,0
1700074H08Rik,0
1700074P13Rik,0
1700080E11Rik,0
1700080G11Rik,8
1700080G18Rik,33
1700080N15Rik,0
1700080O16Rik,0
1700081B01Rik,0
1700081H04Rik,0
1700083H02Rik,0
1700084C01Rik,0
1700084D21Rik,0
1700084E18Rik,7
1700084F23Rik,0
1700084J12Rik,0
1700084M14Rik,0
1700085C21Rik,0
1700086D15Rik,0
1700086L19Rik,0
1700086O06Rik,389
1700086P04Rik,6
1700087I21Rik,39
1700087M22Rik,0
1700088E04Rik,2
1700091H14Rik,0
1700092C02Rik,0
1700092C10Rik,0
1700092E19Rik,0
1700092K14Rik,0
1700092M07Rik,30
1700093K21Rik,6
1700094D03Rik,149
1700094J05Rik,0
1700094M23Rik,0
1700094M24Rik,0
1700095A13Rik,0
1700095A21Rik,0
1700095B10Rik,2
1700095J12Rik,1
1700096J18Rik,11
1700096K18Rik,22
1700096P03Rik,0
1700097N02Rik,0
1700099I09Rik,36
1700100I10Rik,0
1700100L14Rik,0
1700101E01Rik,55
1700101G07Rik,0
1700101I11Rik,3
1700101O22Rik,0
1700102H20Rik,16
1700102J08Rik,0
1700102P08Rik,16
1700104L18Rik,0
1700105P06Rik,2
1700106J16Rik,0
1700108F19Rik,0
1700108J01Rik,1
1700108N06Rik,0
1700109G14Rik,0
1700109G15Rik,0
1700109H08Rik,74
1700109I08Rik,0
1700109K24Rik,0
1700110C19Rik,0
1700110I01Rik,0
1700110I07Rik,0
1700110K17Rik,0
1700111N16Rik,0
1700112D23Rik,0
1700112E06Rik,0
1700112H04Rik,0
1700112H15Rik,5
1700112J05Rik,0
1700112J16Rik,5
1700112K13Rik,0
1700112N08Rik,2
1700113A16Rik,35
1700113B09Rik,0
1700113H08Rik,0
1700116B05Rik,0
1700116H05Rik,0
1700119H24Rik,0
1700120C14Rik,4
1700120E14Rik,0
1700120G07Rik,0
1700120K04Rik,31
1700121L16Rik,0
1700121N20Rik,0
1700122C19Rik,2
1700122E12Rik,24
1700122H20Rik,0
1700122O11Rik,0
1700123I01Rik,0
1700123J17Rik,0
1700123K08Rik,0
1700123L14Rik,0
1700123M08Rik,62
1700123O12Rik,0
1700123O20Rik,2433
1700123O21Rik,0
1700124L16Rik,2
1700124M09Rik,0
1700125G02Rik,0
1700125G22Rik,0
1700125H03Rik,7
1700125H20Rik,2
1700126H18Rik,0
1700128A07Rik,0
1700128E19Rik,0
1700128F08Rik,0
1700129C05Rik,0
1810006J02Rik,0
1810007C17Rik,0
1810007D17Rik,2
1810008I18Rik,0
1810009A15Rik,16
1810009J06Rik,0
1810010D01Rik,0
1810010H24Rik,18
1810010K12Rik,0
1810011H11Rik,54
1810011O10Rik,0
1810012K08Rik,28
1810012K16Rik,15
1810013A23Rik,0
1810013D15Rik,1
1810013L24Rik,3095
1810014B01Rik,619
1810018F18Rik,0
1810019D21Rik,2
1810019N24Rik,6
1810020O05Rik,1
1810021B22Rik,14
1810022K09Rik,593
1810024B03Rik,44
1810026B05Rik,436
1810026J23Rik,3396
1810030O07Rik,2473
1810032O08Rik,1052
1810034E14Rik,44
1810035K13Rik,0
1810037I17Rik,932
1810041H14Rik,10
1810041L15Rik,0
1810043G02Rik,258
1810043H04Rik,609
1810044D09Rik,142
1810046K07Rik,26976
1810049I09Rik,0
1810053B23Rik,0
1810055G02Rik,761
1810058I24Rik,1514
1810062G17Rik,52
1810062O18Rik,18
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,29
2010001A14Rik,64
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,0
2010003K11Rik,2
2010005H15Rik,3
2010009K17Rik,6
2010010A06Rik,0
2010012O05Rik,546
2010016I18Rik,8
2010106C02Rik,0
2010106E10Rik,0
2010107E04Rik,2467
2010107G12Rik,33
2010107G23Rik,0
2010109A12Rik,42
2010109I03Rik,101
2010110K18Rik,50
2010111I01Rik,424
2010203P06Rik,0
2010204K13Rik,313
2010300C02Rik,25
2010300F17Rik,0
2010308F09Rik,0
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,162
2010320O07Rik,0
2200002D01Rik,11
2200002J24Rik,107
2210008F06Rik,10
2210010C04Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210013O21Rik,0
2210015D19Rik,606
2210016F16Rik,1
2210016L21Rik,2306
2210018M11Rik,3073
2210019I11Rik,0
2210039B01Rik,0
2210404E10Rik,0
2210404O09Rik,0
2210406O10Rik,29
2210407C18Rik,0
2210408F21Rik,47
2210408I21Rik,640
2210409D07Rik,0
2210409E12Rik,0
2210414B05Rik,7
2210416O15Rik,0
2210417A02Rik,69
2210420H20Rik,0
2300002M23Rik,0
2300003K06Rik,0
2300005B03Rik,0
2300009A05Rik,293
2310001H17Rik,163
2310001K24Rik,0
2310002D06Rik,0
2310002F09Rik,0
2310002L09Rik,0
2310003H01Rik,804
2310003N18Rik,9
2310005A03Rik,0
2310005E17Rik,0
2310007B03Rik,0
2310007L24Rik,10
2310008N11Rik,1
2310009A05Rik,244
2310009B15Rik,93
2310010J17Rik,36
2310011J03Rik,2058
2310014F06Rik,0
2310014L17Rik,136
2310015A10Rik,899
2310015A16Rik,0
2310015B20Rik,1
2310015D24Rik,0
2310015K22Rik,0
2310016D03Rik,0
2310016D23Rik,5
2310016G11Rik,0
2310020H05Rik,0
2310022A10Rik,1967
2310022B05Rik,1345
2310026I22Rik,0
2310030A07Rik,0
2310030G06Rik,0
2310033P09Rik,815
2310034C09Rik,0
2310034G01Rik,37
2310034O05Rik,0
2310034P14Rik,18
2310035C23Rik,2251
2310036O22Rik,3655
2310039H08Rik,415
2310039L15Rik,0
2310040G24Rik,6
2310043L19Rik,2
2310043O21Rik,0
2310045N01Rik,674
2310047D07Rik,10
2310047M10Rik,224
2310050C09Rik,0
2310057J18Rik,0
2310057M21Rik,1028
2310057N15Rik,0
2310061I04Rik,372
2310061J03Rik,6
2310061N02Rik,0
2310065F04Rik,0
2310067B10Rik,1782
2310067E19Rik,0
2310068J16Rik,4
2310069B03Rik,0
2310069G16Rik,0
2310075C17Rik,0
2310075K07Rik,96
2310079G19Rik,0
2310081J21Rik,0
2400006E01Rik,0
2410002F23Rik,2479
2410003L11Rik,2
2410004B18Rik,2042
2410004I01Rik,0
2410004N09Rik,604
2410004P03Rik,0
2410006H16Rik,2329
2410007B07Rik,2
2410012E07Rik,17
2410012M07Rik,0
2410015M20Rik,2160
2410016O06Rik,483
2410017I17Rik,0
2410018L13Rik,0
2410019O14Rik,287
2410021H03Rik,0
2410022M11Rik,89
2410088K16Rik,0
2410089E03Rik,2719
2410114N07Rik,0
2410124H12Rik,0
2410127L17Rik,1014
2410131K14Rik,1155
2410137M14Rik,0
2410141K09Rik,0
2500002B13Rik,112
2500004C02Rik,468
2510002D24Rik,0
2510003B16Rik,6
2510003E04Rik,2091
2510009E07Rik,7
2510039O18Rik,802
2610001J05Rik,1880
2610002J02Rik,733
2610002M06Rik,1286
2610005L07Rik,572
2610008E11Rik,429
2610015P09Rik,746
2610016A17Rik,0
2610020C07Rik,153
2610020H08Rik,460
2610027F03Rik,0
2610027K06Rik,2
2610028E06Rik,0
2610028H24Rik,2
2610034B18Rik,8
2610035D17Rik,308
2610035F20Rik,28
2610036A22Rik,537
2610037D02Rik,316
2610042L04Rik,0
2610044O15Rik8,467
2610100L16Rik,0
2610203C20Rik,0
2610203C22Rik,3
2610206C17Rik,8
2610300M13Rik,0
2610301B20Rik,1421
2610305D13Rik,152
2610306M01Rik,131
2610307P16Rik,0
2610316D01Rik,0
2610318N02Rik,1113
2610507B11Rik,17866
2610507I01Rik,813
2610524H06Rik,1200
2610528A11Rik,3
2610528J11Rik,0
2700012I20Rik,27
2700029M09Rik,4688
2700038G22Rik,1089
2700046A07Rik,0
2700046G09Rik,20
2700049A03Rik,1418
2700054A10Rik,17
2700060E02Rik,6471
2700062C07Rik,1157
2700068H02Rik,0
2700069I18Rik,0
2700070H01Rik,0
2700081O15Rik,1465
2700089E24Rik,2978
2700089I24Rik,0
2700094K13Rik,3368
2700097O09Rik,400
2700099C18Rik,401
2810001G20Rik,270
2810002D19Rik,271
2810004N23Rik,3968
2810006K23Rik,869
2810007J24Rik,0
2810008D09Rik,480
2810013P06Rik,391
2810021J22Rik,456
2810025M15Rik,2252
2810029C07Rik,97
2810030D12Rik,0
2810032G03Rik,0
2810039B14Rik,38
2810047C21Rik1,0
2810049E08Rik,4
2810403A07Rik,3533
2810403D21Rik,117
2810404M03Rik,0
2810405F15Rik,0
2810407A14Rik,2
2810408A11Rik,0
2810408B13Rik,11
2810408I11Rik,293
2810408M09Rik,935
2810410L24Rik,0
2810416G20Rik,180
2810417H13Rik,8913
2810428I15Rik,801
2810429I04Rik,436
2810433D01Rik,0
2810442N19Rik,11
2810454H06Rik,0
2810459M11Rik,0
2810468N07Rik,2
2810471M01Rik,0
2810474O19Rik,0
2900005J15Rik,71
2900008C10Rik,26
2900009J06Rik,1
2900011O08Rik,0
2900026A02Rik,1557
2900040C04Rik,0
2900041M22Rik,14
2900052N01Rik,0
2900055J20Rik,0
2900057B20Rik,0
2900060B14Rik,2
2900076A07Rik,149
2900079G21Rik,0
2900089D17Rik,329
2900092C05Rik,0
2900092D14Rik,0
2900097C17Rik,8339
3000002C10Rik,257
3010001F23Rik,0
3010003L21Rik,1
3010026O09Rik,813
3010033K07Rik,0
3100003L05Rik,0
3110001I22Rik,409
3110002H16Rik,1265
3110007F17Rik,9
3110009E18Rik,88
3110009F21Rik,0
3110009M11Rik,0
3110015C05Rik,0
3110021A11Rik,0
3110021N24Rik,0
3110035E14Rik,0
3110039I08Rik,0
3110039M20Rik,0
3110040M04Rik,0
3110040N11Rik,943
3110043O21Rik,880
3110045C21Rik,61
3110052M02Rik,191
3110053B16Rik,0
3110056K07Rik,305
3110057O12Rik,252
3110062M04Rik,233
3110070M22Rik,30
3110079O15Rik,1
3110082I17Rik,2654
3110082J24Rik,0
3110099E03Rik,0
3200001D21Rik,0
3300002A11Rik,0
3300002I08Rik,125
3300002P13Rik,0
3300005D01Rik,114
3425401B19Rik,2605
3632451O06Rik,0
3632454L22Rik,8
3830403N18Rik,2750
3830406C13Rik,478
3830408C21Rik,67
3830417A13Rik,0
3830432H09Rik,19
3930402G23Rik,0
4430402I18Rik,4
4631405J19Rik,3
4631405K08Rik,0
4632404H12Rik,295
4632415L05Rik,1113
4632427E13Rik,49
4632428C04Rik,0
4632428N05Rik,770
4732414G09Rik,0
4732416N19Rik,0
4732419C18Rik,79
4732440D04Rik,90
4732456N10Rik,0
4732465J04Rik,0
4732471J01Rik,62
4732490B19Rik,0
4732491K20Rik,57
4831407H17Rik,2
4831440D22Rik,0
4831440E17Rik,47
4833403I15Rik,0
4833411C07Rik,0
4833412C05Rik,0
4833415N18Rik,0
4833417C18Rik,166
4833418N02Rik,5
4833419F23Rik,35
4833420G17Rik,1990
4833422C13Rik,2
4833422M21Rik,2
4833423E24Rik,0
4833427F10Rik,0
4833427G06Rik,1
4833428L15Rik,0
4833438C02Rik,113
4833439L19Rik,3368
4833447I15Rik,120
4833447P13Rik,37
4921501E09Rik,0
4921504A21Rik,0
4921504E06Rik,0
4921506M07Rik,0
4921507G05Rik,0
4921507L20Rik,33
4921507P07Rik,0
4921508D12Rik,0
4921509C19Rik,0
4921509O07Rik,0
4921511C10Rik,0
4921511C20Rik,0
4921511H03Rik,0
4921511I17Rik,0
4921511M17Rik,0
4921513H07Rik,0
4921513I03Rik,0
4921515E04Rik,0
4921517D16Rik,6
4921517D22Rik,0
4921518K17Rik,0
4921524J17Rik,775
4921524L21Rik,0
4921525O09Rik,2
4921528I07Rik,1
4921529L05Rik,2
4921530L21Rik,0
4921531C22Rik,95
4921531P14Rik,0
4921533I20Rik,0
4921534H16Rik,0
4921536K21Rik,48
4921539E11Rik,0
4921539H07Rik,0
4922502D21Rik,10
4922502H24Rik,0
4922502N22Rik,0
4930401C15Rik,0
4930401G09Rik,63
4930401O10Rik,0
4930401O12Rik,0
4930402D18Rik,0
4930402F06Rik,0
4930402F11Rik,0
4930402H24Rik,458
4930402K13Rik,0
4930403D09Rik,2
4930404A05Rik,0
4930404H11Rik,0
4930404H24Rik,3
4930404I05Rik,19
4930404I20Rik,0
4930404K13Rik,0
4930404N11Rik,0
4930405A10Rik,0
4930405A21Rik,33
4930405D01Rik,0
4930405D11Rik,0
4930405J17Rik,0
4930405L22Rik,0
4930405O22Rik,12
4930406D18Rik,0
4930407G08Rik,0
4930407I02Rik,2
4930407I10Rik,62
4930407I19Rik,0
4930412B13Rik,0
4930412C18Rik,0
4930412D23Rik,0
4930412E21Rik,0
4930412L05Rik,8
4930412O13Rik,2
4930413E15Rik,0
4930413F20Rik,0
4930413G21Rik,496
4930413M19Rik,0
4930414F18Rik,0
4930414L22Rik,0
4930414N06Rik,1
4930415F15Rik,19
4930415L06Rik,0
4930415O20Rik,3
4930417H01Rik,2
4930417O13Rik,0
4930417O22Rik,0
4930419G24Rik,0
4930421P05Rik,0
4930421P07Rik,0
4930423D24Rik,0
4930423M02Rik,0
4930425K10Rik,0
4930425L21Rik,0
4930425O10Rik,0
4930426D05Rik,253
4930426I24Rik,30
4930426L09Rik,6
4930427A07Rik,449
4930428D18Rik,0
4930428D20Rik,0
4930428E07Rik,0
4930428G15Rik,4
4930428N03Rik,0
4930428O21Rik,5
4930429B21Rik,6
4930429D17Rik,0
4930429F11Rik,0
4930429F24Rik,2
4930429P21Rik,0
4930430A15Rik,0
4930430E12Rik,0
4930430F08Rik,0
4930430F21Rik,0
4930430J02Rik,7
4930431F10Rik,0
4930431F12Rik,0
4930431P03Rik,0
4930431P22Rik,2
4930432E11Rik,0
4930432J09Rik,0
4930432K21Rik,18
4930432L08Rik,0
4930432M17Rik,0
4930432O09Rik,0
4930433B08Rik,0
4930433I11Rik,0
4930433N12Rik,0
4930434B07Rik,5
4930434J06Rik,0
4930435E12Rik,0
4930435F18Rik,0
4930437M23Rik,0
4930438A08Rik,0
4930438E09Rik,0
4930439A04Rik,0
4930440C22Rik,0
4930440I19Rik,0
4930441J16Rik,0
4930442E04Rik,0
4930442J19Rik,0
4930442L01Rik,0
4930443O20Rik,0
4930444A19Rik,3
4930444F02Rik,0
4930444G20Rik,0
4930444M15Rik,0
4930444P10Rik,2
4930445E18Rik,2
4930445N18Rik,21
4930447A16Rik,0
4930447C04Rik,2
4930447F24Rik,0
4930447J18Rik,0
4930447K03Rik,0
4930447M23Rik,0
4930447N08Rik,0
4930448C13Rik,0
4930448F12Rik,0
4930448H16Rik,0
4930448I06Rik,0
4930448I18Rik,0
4930448K20Rik,0
4930449C09Rik,0
4930449E01Rik,0
4930449E18Rik,0
4930449I24Rik,0
4930451E10Rik,5
4930451G09Rik,70
4930451I11Rik,0
4930452A19Rik,0
4930452B06Rik,0
4930452G13Rik,1
4930452N14Rik,0
4930453H23Rik,0
4930453L07Rik,0
4930453N24Rik,2798
4930453O03Rik,0
4930455B14Rik,0
4930455C13Rik,9
4930455D15Rik,0
4930455F16Rik,0
4930455G09Rik,13
4930455H04Rik,0
4930455J16Rik,0
4930456L15Rik,0
4930458A03Rik,0
4930459C07Rik,0
4930459I23Rik,0
4930459L07Rik,0
4930461C15Rik,0
4930461G14Rik,0
4930463O16Rik,0
4930465K10Rik,0
4930465M20Rik,0
4930467D21Rik,0
4930467E23Rik,0
4930467J12Rik,0
4930467K11Rik,0
4930468A15Rik,0
4930469G21Rik,0
4930469K13Rik,12
4930470H14Rik,0
4930470O06Rik,0
4930470P17Rik,0
4930471C04Rik,0
4930471G03Rik,0
4930471G24Rik,0
4930471L23Rik,0
4930471M09Rik,3
4930473A02Rik,20
4930473H19Rik,8
4930473O22Rik,0
4930474G06Rik,0
4930474H20Rik,0
4930474M22Rik,0
4930474N05Rik,0
4930474N09Rik,0
4930477N07Rik,1
4930478L05Rik,3
4930478P22Rik,0
4930479D17Rik,3
4930479H17Rik,0
4930480E11Rik,0
4930480G23Rik,0
4930480K15Rik,0
4930480K23Rik,309
4930480M12Rik,0
4930481A15Rik,61
4930482G09Rik,0
4930483J18Rik,0
4930483K19Rik,8
4930483O08Rik,0
4930484H19Rik,0
4930486F22Rik,0
4930486I03Rik,0
4930486L24Rik,0
4930487D11Rik,0
4930487H11Rik,19
4930488B22Rik,0
4930488L21Rik,0
4930488N24Rik,0
4930500A05Rik,0
4930500F04Rik,0
4930500G05Rik,5
4930500H12Rik,0
4930500J02Rik,90
4930500L23Rik,0
4930502A04Rik,0
4930502C15Rik,6
4930502E09Rik,5
4930502E18Rik,0
4930502M04Rik,0
4930503B20Rik,0
4930503E14Rik,4
4930503E24Rik,0
4930503F20Rik,0
4930503H13Rik,0
4930503L19Rik,2318
4930503O07Rik,0
4930504C09Rik,0
4930504O13Rik,0
4930505A04Rik,0
4930505G20Rik,0
4930505K13Rik,0
4930505K14Rik,3
4930505N22Rik,0
4930505O20Rik,0
4930506A18Rik,2
4930506C21Rik,43
4930506M07Rik,3146
4930507D05Rik,1
4930507D10Rik,0
4930509E16Rik,441
4930509J09Rik,0
4930509K18Rik,0
4930511A02Rik,0
4930511A08Rik,0
4930511E03Rik,0
4930511M06Rik,0
4930512B01Rik,0
4930512H18Rik,0
4930512J16Rik,34
4930513D17Rik,0
4930513L16Rik,8
4930513N10Rik,186
4930513O06Rik,0
4930515B02Rik,0
4930515G01Rik,34
4930515G16Rik,0
4930515L03Rik,0
4930515L19Rik,0
4930517E11Rik,0
4930517G24Rik,0
4930517M08Rik,0
4930517O19Rik,16
4930518F22Rik,5
4930518J21Rik,0
4930518P08Rik,0
4930519D14Rik,0
4930519F09Rik,0
4930519F16Rik,2
4930519F24Rik,0
4930519G04Rik,0
4930519H02Rik,0
4930520O04Rik,39
4930520P13Rik,0
4930521E06Rik,0
4930521O11Rik,0
4930521O17Rik,0
4930522H14Rik,0
4930522L14Rik,452
4930522O17Rik,0
4930522P08Rik,29
4930523C07Rik,69
4930523O13Rik,0
