gene_id,Satrom-mRNA-30mT_CGATGT_L004_001
4930425O10Rik,0
4930426D05Rik,272
4930426I24Rik,30
4930426L09Rik,6
4930427A07Rik,325
4930428D18Rik,0
4930428D20Rik,0
4930428E07Rik,0
4930428G15Rik,0
4930428N03Rik,0
4930428O21Rik,33
4930429B21Rik,14
4930429D17Rik,0
4930429F11Rik,0
4930429F24Rik,2
4930429P21Rik,0
4930430A15Rik,0
4930430E12Rik,0
4930430F08Rik,0
4930430F21Rik,0
4930430J02Rik,23
4930431F10Rik,1
4930431F12Rik,0
4930431P03Rik,0
4930431P22Rik,0
4930432E11Rik,2
4930432J09Rik,0
4930432K21Rik,47
4930432L08Rik,0
4930432M17Rik,0
4930432O09Rik,0
4930433B08Rik,0
4930433I11Rik,0
4930433N12Rik,0
4930434B07Rik,5
4930434J06Rik,0
4930435E12Rik,0
4930435F18Rik,0
4930437M23Rik,0
4930438A08Rik,0
4930438E09Rik,0
4930439A04Rik,0
4930440C22Rik,0
4930440I19Rik,0
4930441J16Rik,0
4930442E04Rik,0
4930442J19Rik,0
4930442L01Rik,0
4930443O20Rik,0
4930444A19Rik,0
4930444F02Rik,0
4930444G20Rik,0
4930444M15Rik,0
4930444P10Rik,0
4930445E18Rik,9
4930445N18Rik,19
4930447A16Rik,0
4930447C04Rik,3
4930447F24Rik,6
4930447J18Rik,0
4930447K03Rik,0
4930447M23Rik,0
4930447N08Rik,0
4930448C13Rik,0
4930448F12Rik,0
4930448H16Rik,0
4930448I06Rik,0
4930448I18Rik,0
4930448K20Rik,0
4930449C09Rik,0
4930449E01Rik,0
4930449E18Rik,0
4930449I24Rik,0
4930451E10Rik,0
4930451G09Rik,58
4930451I11Rik,0
4930452A19Rik,0
4930452B06Rik,0
4930452G13Rik,0
4930452N14Rik,0
4930453H23Rik,0
4930453L07Rik,0
4930453N24Rik,3631
4930453O03Rik,0
4930455B14Rik,0
4930455C13Rik,20
4930455D15Rik,0
4930455F16Rik,0
4930455G09Rik,37
4930455H04Rik,0
4930455J16Rik,0
4930456L15Rik,0
4930458A03Rik,0
4930459C07Rik,0
4930459I23Rik,0
4930459L07Rik,0
4930461C15Rik,0
4930461G14Rik,0
4930463O16Rik,0
4930465K10Rik,0
4930465M20Rik,0
4930467D21Rik,0
4930467E23Rik,0
4930467J12Rik,0
4930467K11Rik,0
4930468A15Rik,0
4930469G21Rik,0
4930469K13Rik,17
4930470H14Rik,0
4930470O06Rik,0
4930470P17Rik,0
4930471C04Rik,0
4930471G03Rik,0
4930471G24Rik,0
4930471L23Rik,0
4930471M09Rik,3
4930473A02Rik,42
4930473H19Rik,13
4930473O22Rik,0
4930474G06Rik,0
4930474H20Rik,0
4930474M22Rik,0
4930474N05Rik,0
4930474N09Rik,1
4930477N07Rik,1
4930478L05Rik,13
4930478P22Rik,0
4930479D17Rik,3
4930479H17Rik,0
4930480E11Rik,0
4930480G23Rik,0
4930480K15Rik,0
4930480K23Rik,364
4930480M12Rik,0
4930481A15Rik,136
4930482G09Rik,0
4930483J18Rik,0
4930483K19Rik,1
4930483O08Rik,0
4930484H19Rik,0
4930486F22Rik,4
4930486I03Rik,0
4930486L24Rik,0
4930487D11Rik,0
4930487H11Rik,6
4930488B22Rik,0
4930488L21Rik,0
4930488N24Rik,0
4930500A05Rik,0
4930500F04Rik,0
4930500G05Rik,13
4930500H12Rik,0
4930500J02Rik,117
4930500L23Rik,0
4930502A04Rik,0
4930502C15Rik,43
4930502E09Rik,0
4930502E18Rik,0
4930502M04Rik,0
4930503B20Rik,0
4930503E14Rik,19
4930503E24Rik,0
4930503F20Rik,0
4930503H13Rik,0
4930503L19Rik,3316
4930503O07Rik,4
4930504C09Rik,0
4930504O13Rik,0
4930505A04Rik,0
4930505G20Rik,0
4930505K13Rik,0
4930505K14Rik,1
4930505N22Rik,0
4930505O20Rik,0
4930506A18Rik,3
4930506C21Rik,122
4930506M07Rik,2537
4930507D05Rik,8
4930507D10Rik,0
4930509E16Rik,467
4930509J09Rik,0
4930509K18Rik,0
4930511A02Rik,0
4930511A08Rik,0
4930511E03Rik,0
4930511M06Rik,0
4930512B01Rik,10
4930512H18Rik,0
4930512J16Rik,40
4930513D17Rik,0
4930513L16Rik,3
4930513N10Rik,85
4930513O06Rik,0
4930515B02Rik,0
4930515G01Rik,25
4930515G16Rik,0
4930515L03Rik,0
4930515L19Rik,0
4930517E11Rik,0
4930517G24Rik,0
4930517M08Rik,0
4930517O19Rik,20
4930518F22Rik,0
4930518J21Rik,0
4930518P08Rik,0
4930519D14Rik,0
4930519F09Rik,0
4930519F16Rik,0
4930519F24Rik,0
4930519G04Rik,2
4930519H02Rik,0
4930520O04Rik,58
4930520P13Rik,0
4930521E06Rik,0
4930521O11Rik,0
4930521O17Rik,0
4930522H14Rik,0
4930522L14Rik,391
4930522O17Rik,0
4930522P08Rik,9
4930523C07Rik,168
4930523O13Rik,0
