"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-44","s-54","s-84","s-94"
"1","MOB3C",10666.5702185072,5.23270263936152,0.234969562596207,22.2697041333557,7.26795005067373e-110,1.11344994776322e-105,612.822977908588,23160.3411282671,496.448558311088,18396.6682095421
"2","GCSAM",2600.76690928416,4.62585638235645,0.224458001531264,20.60900636555,2.27861268923875e-94,1.74541731995688e-90,197.252396014327,5039.79584570166,206.785184618833,4959.23421080184
"3","PALLD",2318.84810729453,7.05370114240929,0.35458346556276,19.8929217729156,4.68634660336241e-88,2.39316099878374e-84,19.1507180596434,5271.59882246101,45.1316871191898,3939.51120153828
"4","SLC30A4",3968.0818384102,4.14754212729062,0.215907501584278,19.2098102050969,3.06384092378602e-82,1.17345107381005e-78,407.910294670404,7944.24109092478,438.187653120861,7081.98831492474
"5","NFIL3",2556.26787237207,5.4002529903568,0.283825173625656,19.0266878775148,1.02531940368337e-80,3.14157865288586e-77,86.1782312683952,5181.02679842921,144.421398781407,4813.44506100925
"6","EML6",3780.14019734102,-5.02225480427484,0.266187177476747,-18.8673806600379,2.11526535288028e-79,5.40097753435432e-76,5930.97738307155,231.802976759351,8737.49462627515,220.285803258037
"7","GZMB",1888.67900504985,7.80513728728997,0.429698311483472,18.1642261063206,9.90944372277e-74,2.16875254046909e-70,13.4055026417504,4887.8190596144,18.8732509771157,2634.61820696612
"8","ZBTB8A",1249.01506079426,6.39699169959289,0.372575380951453,17.1696575422047,4.48055593235788e-66,8.58026461046534e-63,15.3205744477147,2778.56548300944,38.5670780836713,2163.60710763621
"9","SOCS1",2234.17318762998,3.87248004796601,0.231965227123258,16.6942265269281,1.44378091995374e-62,2.4576359659657e-59,300.666273536401,3894.59703336738,272.431274974018,4468.99816864214
"10","CLCN5",4373.35112109296,3.84368307978527,0.230375592939133,16.6844196937164,1.70151356163816e-62,2.60671877642966e-59,503.663884968621,8744.03811669711,631.023043539217,7614.67943916691
"11","IL4R",24200.2922321256,3.14501515159191,0.195000121839069,16.1282727514778,1.6147355032646e-58,2.24888617363761e-55,4626.81348320984,43600.4512974774,5201.63208451899,43372.272063296
"12","DHRS9",679.970704956108,6.35849195095102,0.394934731588723,16.100108302383,2.54658453102434e-58,3.25113958460775e-55,13.4055026417504,1466.03869407404,18.0526748476759,1222.38594826096
"13","QSOX1",6236.33461052798,3.64088666935852,0.226690995321665,16.0610114406717,4.78681541230129e-58,5.64107785511198e-55,869.442599907809,10216.2172869767,979.767898551139,12879.9106566763
"14","B3GNT5",766.630651938935,7.03874594634295,0.449013310016073,15.6760296172311,2.20620738887663e-55,2.41422122839928e-52,19.1507180596434,1670.20952790844,7.38518516495833,1369.7771766227
"15","GAS6",918.129839962231,6.33488383174633,0.40452888812558,15.6599046883884,2.84322999941641e-55,2.9038855727373e-52,30.6411488954294,1415.37976537829,17.2320987182361,2209.26634685697
"16","BCL6",6314.82589757118,3.29640230885619,0.211649840578795,15.5747923071503,1.08003282080617e-54,1.0341314259219e-51,1112.65671926528,12342.3571731469,1218.55555221812,10585.7341456544
"17","SLC37A3",2385.39856400478,3.54876555230953,0.238951760153265,14.8513890420114,6.81419610485588e-50,6.14079319567012e-47,348.543068685509,3957.53691447422,400.44115116663,4835.07312169277
"18","ATHL1",4198.56483004523,-3.21078962655823,0.22581546186662,-14.2186438431515,7.02001877782652e-46,5.97481598201679e-43,6819.570701039,873.48274023888,8335.41232284964,765.793556053394
"19","HOMER2",2417.20083053274,3.66143414453451,0.259839703321005,14.0911265589431,4.30636572254152e-45,3.47229067733348e-42,302.581345342365,5001.417869417,401.261727296069,3963.54238007552
"20","FLT1",846.546792542224,3.71942043365692,0.269933135223891,13.779043578966,3.40756666002662e-43,2.61019606158039e-40,114.90430835786,1650.25298024041,123.086419415972,1497.94346215465
"21","RRAGD",2187.46721724408,3.54420349054893,0.258521001828602,13.7095379697574,8.90229080603015e-43,6.4944331023039e-40,409.825366476368,3874.64048569935,286.381069174495,4179.0219476261
"22","BAIAP3",1142.5131285672,-3.51733020735116,0.259254609476663,-13.5670884095419,6.27661457431567e-42,4.37080614902346e-39,2081.68305308323,159.652381344189,2123.65102299024,205.066056851118
"23","PDCD1",538.283282297887,-4.29615720533678,0.319364028612224,-13.4522263637688,2.98740195080851e-41,1.98986947332114e-38,970.941405623919,58.3345239526844,1076.59588182504,47.2613177899061
"24","ABCA6",762.254393388689,-4.30365982582402,0.322929456094896,-13.3269348602233,1.61393541240056e-40,1.03022877158236e-37,1196.91987872771,82.8964287748673,1703.51604471706,65.6852213351237
"25","LMO2",1925.81908582066,4.77288128055951,0.359637252561962,13.271376217449,3.39291773057947e-40,2.0791799852991e-37,76.6028722385735,3794.81429502726,188.732509771157,3643.12666624564
"26","GLDC",769.418557482253,4.2049462186518,0.324444963482012,12.9604299401767,2.05094766322623e-38,1.20848146925484e-35,65.1124414027875,1687.09583747369,90.2633742383796,1235.20257681416
