"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-42","s-52","s-82","s-92"
"1","VDR",2811.13822475237,7.46875389780592,0.383964874465595,19.4516592388847,2.82151736991488e-84,3.78083327568594e-80,22.3262180103923,4504.47365308499,37.6162128538206,6680.13681506029
"2","SOCS3",5028.36516155774,3.94266672177709,0.216109713408202,18.2438200467645,2.31685798320265e-74,1.55229484874577e-70,602.807886280592,8707.40161825775,624.429133373422,10178.8220083192
"3","CISH",3024.81623191131,6.07975839273249,0.338011563944473,17.9868354851056,2.47070224392852e-72,1.1035803356214e-68,116.09633365404,5270.93226317214,65.828372494186,6646.40795832486
"4","PECAM1",2517.00197211394,-4.866313171727,0.289237504094783,-16.8246271760536,1.61072426805071e-63,5.39592629796988e-60,5760.16424668121,160.488516478343,3974.15288800615,173.202237290046
"5","IL4I1",2465.93860389792,5.52937212331002,0.330048518716637,16.7532099365587,5.36516069441632e-63,1.43786306610357e-59,75.9091412353338,4266.97943587488,127.89512370299,5392.97071477847
"6","LMNB1",5171.66373330547,3.27178002965911,0.201259319596711,16.2565392559967,2.00762174091571e-59,4.48368855471176e-56,973.423105253104,9822.90475969915,967.677075664535,8922.64999260509
"7","FCER2",11478.4473852243,3.64260259815236,0.236871645964984,15.3779595836085,2.30084845976515e-53,4.40448133726471e-50,1966.93980671556,20882.218807783,1443.52216826537,21621.1087581332
"8","APBB2",665.493538594181,-4.93650997149791,0.334199897496554,-14.7711295200167,2.24911794130763e-49,3.76727255169028e-46,1252.50083038301,38.8626900889262,1325.03109777583,45.5795361289594
"9","BATF",1589.16481065457,3.76077756141325,0.259924374475282,14.4687375664758,1.90944623130001e-47,2.84295327771335e-44,205.401205695609,2768.60682911295,229.458898408306,3153.19230940141
"10","HOMER2",1496.60462073309,3.73440095709657,0.2605272139693,14.3340148624037,1.34136442732747e-46,1.79742833261882e-43,192.005474889374,2690.8814489351,223.816466480232,2879.71509262765
"11","PRKCE",2960.46072864068,-2.86931150942026,0.215533178095202,-13.3126209838231,1.95501145704753e-40,2.38155941131245e-37,4992.14234712371,746.307585596602,5424.25789352093,679.135088321495
"12","GLIPR1",1475.2360573677,-3.81065628070937,0.289286872117665,-13.1725862733219,1.26199333152757e-39,1.40922588687245e-36,3063.15711102582,219.502231057824,2445.99424081968,172.290646567466
"13","PDE3B",1434.79544403447,-3.32990295516839,0.255007062160721,-13.0580813211741,5.71500479404272e-39,5.89085109539788e-36,2513.93214797017,238.933576102287,2705.54610951105,280.76994255439
"14","ARID5A",4144.39791670987,2.91587857979166,0.228274344568294,12.7735711400512,2.30338863239647e-37,2.20467197672233e-34,1002.44718866661,6569.9536633668,938.524510702824,8066.66630410323
"15","NR1D2",2040.09643752279,-2.95164407648532,0.236133923459019,-12.499873094251,7.4770550004483e-36,6.67950246706715e-33,3322.14123994637,460.594845498385,3903.62248890523,474.027175741178
"16","FOSL2",4846.79147423504,4.26037983012654,0.345991738394078,12.3135305192578,7.65976525846101e-35,6.41505340396109e-32,372.847840773551,7032.70754720346,583.991704555565,11397.6188044076
"17","SLC39A8",2605.6405378375,3.02005357718663,0.246289219939143,12.2622239736391,1.44479378975823e-34,1.13883745780943e-31,535.829232249415,4169.82271065257,605.621026946512,5111.28918150151
"18","BHLHE40",8547.7262917621,2.29264484396234,0.192002819327772,11.9406832253256,7.26241745670309e-33,5.40646632887897e-30,3043.06351481647,13892.692027345,2755.38759154236,14499.7620333446
"19","QSOX1",3555.15096360338,3.34589896737119,0.281660200342128,11.8792039603287,1.51806108829618e-32,1.07063255700888e-29,613.970995285788,5216.23662526921,658.28372494186,7732.11250891667
"20","PDCD4",4942.80741713489,-2.26145013530126,0.191950580473766,-11.7814185803431,4.86670445219961e-32,3.26069198297374e-29,8204.88511881917,1668.21695603946,8154.25454138696,1743.87305229399
"21","LRRC32",1064.59148293509,3.87286488774588,0.332166589708607,11.6594052735507,2.05472539239603e-31,1.31111048848128e-28,109.398468250922,1791.28214132106,158.928499307392,2198.756822861
"22","PLXND1",557.252141554027,-3.84637202696064,0.331775599129362,-11.5932938921795,4.45657892132695e-31,2.71446170662641e-28,1082.82157350403,76.28602128567,1001.53166723297,68.3693041934391
"23","ABLIM1",9774.70222152389,-2.135146794334,0.185651615864735,-11.500825265586,1.30660116247626e-30,7.61237199007907e-28,15416.2535361759,3537.94415698447,16431.7021798702,3712.90901306503
"24","ARRDC2",3538.99999335712,-2.90842702577714,0.254284792319039,-11.4376758407482,2.71049452510447e-30,1.51335944318333e-27,6235.71269030257,700.248101046763,6255.57619759036,964.462984488781
"25","ICAM1",3059.61634023501,2.98815278235127,0.262969933491879,11.3630966957808,6.384077435848e-30,3.42186550561453e-27,776.952386761651,4881.58568283679,597.157379054402,5982.76991228721
"26","LYST",7131.06213684194,-2.48745192109014,0.219269629723597,-11.3442610553305,7.91923807613202e-30,4.0814534700065e-27,12125.3690014441,1913.62764715657,12081.3871633258,2403.86473544132
"27","CHST15",2114.16124396168,-2.51704596736151,0.222144109690861,-11.3306896629592,9.24737219359293e-30,4.58943657015353e-27,3565.49701625965,658.506693173472,3633.72616167907,598.915104734526
"28","CECR1",1241.82538635567,-3.526404726564,0.31409205957876,-11.2272966444723,2.99502220438193e-29,1.43333205495421e-26,2138.85168539558,160.488516478343,2430.94775567816,237.013587870589
"29","ARNTL2",723.645971871064,4.32522535789245,0.386886129562806,11.1795823819792,5.1330965471655e-29,2.37184461144889e-26,49.117679622863,1478.22158227138,84.6364789210963,1282.60814666892
"30","C16orf74",372.739877792162,-4.35467910518974,0.396826899378903,-10.9737497936896,5.11079320153411e-28,2.2828209633519e-25,696.578001924239,37.4233311967438,725.052502757392,31.9056752902716
"31","CNTNAP2",544.232465921142,-5.71444699580051,0.52122076783119,-10.9635827052296,5.71895521457255e-28,2.47206451210555e-25,788.115495766848,12.9542300296421,1347.60082548812,28.2593123999548
"32","RHOF",6616.11589443947,2.10887891141855,0.193404644195143,10.9039724469632,1.10332757413043e-27,4.62018421667119e-25,2371.04435270366,10828.2969458886,2606.80355076977,10658.3187283959
"33","SPRY1",472.296880452683,-4.65296466420786,0.430880719757748,-10.7987302537553,3.48996308188713e-27,1.41713652416023e-24,779.185008562691,28.0674983975578,1037.2670694441,44.6679454063802
"34","IL2RB",1002.86328092814,4.06769190435313,0.377082255137433,10.7872800932269,3.95316375293338e-27,1.5343052592158e-24,80.3743848374122,2120.89532763084,141.060798201827,1669.12261304249
"35","RBM38",5492.09499503816,-2.17329999276825,0.201492211661513,-10.7860248038727,4.00751373675768e-27,1.5343052592158e-24,9305.56766673151,1882.68143097465,8676.17949473372,2103.95138771277
"36","SESN3",28905.5504264237,-2.11853907367551,0.1969114877697,-10.7588394037898,5.3843994917929e-27,2.00419314416736e-24,43406.6330558047,11269.4604463425,50573.1173713191,10372.9908322286
"37","MOB3C",3419.35566568805,3.46391076673207,0.322460053321802,10.742139161266,6.45315539630269e-27,2.33708871109341e-24,522.433501443179,4675.7573612547,612.20386419593,7867.02793585839
"38","IL2RA",4511.53457635662,2.3304700767637,0.218302573494939,10.6754127514568,1.32666610397818e-26,4.67824362981779e-24,1538.27642091603,6857.8254418033,1455.74743744286,8194.28900526432
"39","PDE7B",371.8530224944,-4.96349814655459,0.465091437117113,-10.6720910135887,1.37496803109941e-26,4.72424913249542e-24,734.532572541906,16.5526272600982,706.244396330482,30.0824938451132
"40","SPOCK2",5856.65531816942,-2.29695727544524,0.215918166978954,-10.6380917714494,1.98145717670442e-26,6.63788154195982e-24,10258.8971757753,1810.71348636553,9206.56809597259,2150.4425145643
"41","RCSD1",7663.2398081328,-2.49839250218061,0.234948995575158,-10.6337654096563,2.07559378170345e-26,6.78364796946983e-24,13185.8643569377,1972.64136173605,12857.2215534359,2637.23196042159
"42","ZFP36L2",4520.2423853552,-2.85475585301991,0.268804979276812,-10.6201747478796,2.40111210289407e-26,7.66069099494774e-24,7378.81505243465,901.758345952307,8505.02572624884,1295.37041678503
"43","PTPN1",20963.3038927464,2.26887914892507,0.214747116824418,10.5653532511925,4.31341605644275e-26,1.34418081758914e-23,8026.27537473603,33388.0885425103,6388.17334790008,36050.6783058391
"44","TUBB4B",5714.26456096282,1.96345787918549,0.189622122481373,10.3545823319131,3.98923872366789e-25,1.21490452038977e-22,2315.22880767768,9253.63831784099,2349.1324927211,8939.05862561151
"45","TCP11L2",1926.95876465645,-2.69306725749234,0.263939862883749,-10.2033365785239,1.91575623806078e-24,5.70469635333654e-22,2913.57145035619,547.676058475423,3761.62128538206,484.966264412128
"46","XBP1",4031.42658011981,2.83466190794212,0.278420829173537,10.1812135117783,2.40542713783634e-24,7.00711383630586e-22,866.257258803221,5938.07510969871,1112.49949515174,8208.87445682559
"47","DPEP2",668.361078753824,-4.7936297839172,0.476965829345708,-10.0502582973145,9.16269393336378e-24,2.61234252568244e-21,1772.70171002515,44.620125657656,807.808171035797,48.314308296697
"48","HIP1R",4514.15127638149,-1.98242171011288,0.19830252812012,-9.99695631168177,1.57153056881342e-23,4.38718950460415e-21,7523.9354695022,1812.8725247038,6886.5881682132,1833.20894310675
"49","PKP4",1501.74220766817,-3.25765593488436,0.326633456506546,-9.9734300635522,1.99227105810507e-23,5.44825146502202e-21,2333.08978208599,229.577743303101,3104.27796576154,340.023339522037
"50","WARS",19400.4538045322,2.66094469258145,0.269962063548549,9.85673563760899,6.4099504105763e-23,1.71786671003445e-20,5411.87524571909,26346.7448419537,5183.51413125648,40659.6809991995
"51","GPR155",1018.20482977451,-4.26404349766415,0.433116538362742,-9.84502580710263,7.20207416139229e-23,1.89230968162072e-20,1225.70936877054,101.474801898863,2645.36016894493,100.274979483711
"52","ABCB1",762.239744601912,-4.79840378333908,0.490442944985975,-9.78381651198245,1.32131996937784e-22,3.40493992108904e-20,955.56213084479,38.8626900889262,1987.07644400307,67.4577134708599
"53","PMEPA1",1886.25829235519,-2.56356163704695,0.264373661982291,-9.69673611896587,3.11297653812112e-22,7.87054445487227e-20,3677.12810631161,541.198943460602,2777.0169139333,549.68920571525
"54","MTHFD2",5926.51944699189,2.29647254805983,0.238686862692508,9.62127752719385,6.50185519594345e-22,1.61342332640078e-19,1777.16695362723,8947.05487380613,2227.82020626752,10754.0357542667
"55","SOCS1",2297.93311170934,3.65026278395474,0.381681784037491,9.56362849005178,1.13698945386535e-21,2.7701197603265e-19,221.029558302884,3724.3411335221,451.394554245847,4794.96720076653
"56","TRIM22",3776.41383820548,-2.10758861303922,0.221273458427151,-9.52481435423986,1.65337172045242e-21,3.95628233108258e-19,6624.18888368339,1495.49388897757,5637.72990146636,1348.24267869462
"57","LAPTM5",36719.5041811459,-1.70965011220744,0.179570035105754,-9.52079845170481,1.71853506324513e-21,4.04006488552364e-19,53701.2521803966,17118.2953047259,58784.7366373081,17273.732602153
"58","RASGEF1B",2098.96393444951,-3.14609914155345,0.3340799663672,-9.4172038382435,4.6326023856594e-21,1.07029089599717e-18,3208.27752809337,328.173827417599,4334.32812608148,525.076256205612
"59","ADAM28",3375.63773671032,-2.26932874144897,0.241195226277594,-9.40868016532456,5.02405699033793e-21,1.14105701136489e-18,6092.82489503605,1270.95390179711,5091.35440976462,1047.41774024349
"60","SORL1",17426.0763919235,-3.39162545323536,0.36135281336547,-9.38591129718172,6.23746890685618e-21,1.39303472253121e-18,28664.6313035427,1964.72488782905,34974.614306161,4100.33507016119
"61","ZBTB20",11081.2095673831,-1.81320872037699,0.194189440938013,-9.33731881413565,9.88043960734147e-21,2.17045722521927e-18,18439.223454783,4895.25959231252,16067.7653205095,4922.58990192761
"62","CALR",23387.8311418801,1.6784524503172,0.179864600852546,9.33175534463955,1.04131816648556e-20,2.25059087595265e-18,11587.3071473936,35518.3397029403,10684.8852611277,35760.792456059
"63","YPEL2",1479.85669057195,-2.28616545541668,0.245926702349637,-9.29612536407865,1.4565707030716e-20,3.09810276526339e-18,2627.79585982317,516.010162847409,2285.1849308696,490.435808747603
"64","PRDX1",8334.03495187251,1.76371436837369,0.19063776017105,9.2516528036796,2.21047707572193e-20,4.62818637729279e-18,3982.99729305398,12953.510350196,3603.63319139601,12795.9989728441
"65","DGAT2",871.791700769568,3.18655719121535,0.345642558316163,9.21922695729088,2.99249792715399e-20,6.16914957290207e-18,138.422551664432,1402.6552404318,203.127549410631,1742.96146157141
"66","ANKRD33B",19316.1032376112,1.77792506749428,0.193190042831846,9.20298500602227,3.48141490519665e-20,7.0683272317629e-18,9361.38321175749,30412.214032923,8086.54535825008,29404.2703475143
"67","SBNO2",4250.72181197312,1.96997941127677,0.214393231348661,9.18862689313666,3.97887721513581e-20,7.95775443027163e-18,1585.16147873785,6621.05090403928,1868.58537351354,6928.08949160183
